tweet_id,author_id,created_at,lang,text
1537048628216442880,219312049,2022-06-15 12:25:24+00:00,in,"@ganjarpranowo @GanjarKu_ @ganjar_pedia Orang nomor satu Jateng ini datang untuk bertakziah atas wafatnya Emmeril Kahn Mumtadz (https://t.co/k7ZOqaq6mN) atau Eril (https://t.co/NSPvjjbHCA), putra Gubernur Jabar Ridwan Kamil yang sebelumnya tiba di Gedung Pakuan, Bandung, Minggu (12/6/2022)."
1537048586160152576,226014807,2022-06-15 12:25:14+00:00,in,"@ganjarpranowo @GanjarKu_ @ganjar_pedia Orang nomor satu Jateng ini datang untuk bertakziah atas wafatnya Emmeril Kahn Mumtadz (https://t.co/OAKhiXi8A2) atau Eril (https://t.co/a3rne7BS5r), putra Gubernur Jabar Ridwan Kamil yang sebelumnya tiba di Gedung Pakuan, Bandung, Minggu (12/6/2022)."
1537048547220197383,210634559,2022-06-15 12:25:05+00:00,in,"@ganjarpranowo @GanjarKu_ @ganjar_pedia Orang nomor satu Jateng ini datang untuk bertakziah atas wafatnya Emmeril Kahn Mumtadz (https://t.co/chasnbkZzd) atau Eril (https://t.co/UeQtEwxFaz), putra Gubernur Jabar Ridwan Kamil yang sebelumnya tiba di Gedung Pakuan, Bandung, Minggu (12/6/2022)."
1537048500596264960,212308039,2022-06-15 12:24:54+00:00,in,"@ganjarpranowo @GanjarKu_ @ganjar_pedia Orang nomor satu Jateng ini datang untuk bertakziah atas wafatnya Emmeril Kahn Mumtadz (https://t.co/XZn4vKM0w2) atau Eril (https://t.co/5TJyTNcvzf), putra Gubernur Jabar Ridwan Kamil yang sebelumnya tiba di Gedung Pakuan, Bandung, Minggu (12/6/2022)."
1537048459051782145,213799922,2022-06-15 12:24:44+00:00,in,"@ganjarpranowo @GanjarKu_ @ganjar_pedia Orang nomor satu Jateng ini datang untuk bertakziah atas wafatnya Emmeril Kahn Mumtadz (https://t.co/ZlEqDGzfrO) atau Eril (https://t.co/Yzhx1eFnEJ), putra Gubernur Jabar Ridwan Kamil yang sebelumnya tiba di Gedung Pakuan, Bandung, Minggu (12/6/2022)."
1537048409345036288,215470520,2022-06-15 12:24:32+00:00,in,"@ganjarpranowo @GanjarKu_ @ganjar_pedia Orang nomor satu Jateng ini datang untuk bertakziah atas wafatnya Emmeril Kahn Mumtadz (https://t.co/8ERXtxox4Y) atau Eril (https://t.co/wt5Fk1tpQi), putra Gubernur Jabar Ridwan Kamil yang sebelumnya tiba di Gedung Pakuan, Bandung, Minggu (12/6/2022)."
1537048367452258309,220788211,2022-06-15 12:24:22+00:00,in,"@ganjarpranowo @GanjarKu_ @ganjar_pedia Orang nomor satu Jateng ini datang untuk bertakziah atas wafatnya Emmeril Kahn Mumtadz (https://t.co/QveOmn1Tnj) atau Eril (https://t.co/FsIMejaOg8), putra Gubernur Jabar Ridwan Kamil yang sebelumnya tiba di Gedung Pakuan, Bandung, Minggu (12/6/2022)."
1537048326792695810,162921683,2022-06-15 12:24:12+00:00,in,"@ganjarpranowo @GanjarKu_ @ganjar_pedia Orang nomor satu Jateng ini datang untuk bertakziah atas wafatnya Emmeril Kahn Mumtadz (https://t.co/HSS0YYQ636) atau Eril (https://t.co/nv0YacEqbX), putra Gubernur Jabar Ridwan Kamil yang sebelumnya tiba di Gedung Pakuan, Bandung, Minggu (12/6/2022)."
1537048045438783488,1472129121396219906,2022-06-15 12:23:05+00:00,in,"@ganjarpranowo @GanjarKu_ @ganjar_pedia SAHABAT GANJAR (https://t.co/Qv5tmtUJJu) –  Ganjar Pranowo turut hadir melayat ke rumah duka Gedung Pakuan pada Minggu (12/6) untuk mendoakan anak dari Gubernur Jawa Barat, Ridwan Kamil yang Emmeril Kahn Mumtadz yang wafat di Swiss."
1537048011867623424,1460087364609462275,2022-06-15 12:22:57+00:00,in,"@ganjarpranowo @GanjarKu_ @ganjar_pedia SAHABAT GANJAR (https://t.co/EGUM8Br6A0) –  Ganjar Pranowo turut hadir melayat ke rumah duka Gedung Pakuan pada Minggu (12/6) untuk mendoakan anak dari Gubernur Jawa Barat, Ridwan Kamil yang Emmeril Kahn Mumtadz yang wafat di Swiss."
